name;group;factor;unit;default;min;max;step;image
barbell_press;bench;10;kg;20;6;20;2;image.png
dumbbell_inclined_press;bench;10;kg;12;6;20;2;image.png
dumbbell_alternate_press;bench;10;kg;10;6;20;2;image.png
dumbbell_one_arm;bench;10;kg;8;6;20;2;image.png
dumbbell_overhead;bench;10;kg;12;6;20;2;image.png
dumbbell_row;bench;10;kg;9;6;20;2;image.png
quad_standing;stretch;10;sec;30;1;3;1;image.png
hamstring_standing;stretch;10;sec;30;20;50;5;image.png
hamstring_instep;stretch;10;sec;30;20;50;5;image.png
calf_footsling;stretch;10;sec;30;20;50;5;image.png
calf_standing;stretch;10;sec;30;20;50;5;image.png
achillis_standing;stretch;10;sec;30;20;50;5;image.png
side_bend;stretch;10;sec;30;20;50;5;image.png
lifting;sling;10;rep;10;6;20;1;image.png
crunch;sling;10;rep;10;8;30;2;image.png
narrow;pullup;10;rep;5;1;20;1;image.png
standard;pullup;10;rep;5;1;20;1;image.png
middle;pullup;10;rep;5;1;20;1;image.png
wide;pullup;10;rep;5;1;20;1;image.png
calf_single;blackroll;10;rep;10;5;12;1;image.png
calf_double;blackroll;10;rep;10;5;12;1;image.png
hamstring_single;blackroll;10;rep;10;5;12;1;image.png
ham_string_double;blackroll;10;rep;10;5;12;1;image.png
rope_standard;rope;10;rep;80;50;100;5;image.png
